#[Fe/H]GCS	fraction	[Fe/H]halo	fraction
-0.7	0.0003	-2.95	0
-0.65	0.0006	-2.85	0.0022
-0.6	0.0009	-2.75	0.0053
-0.55	0.0031	-2.65	0.0136
-0.5	0.0043	-2.55	0.0158
-0.45	0.0065	-2.45	0.0241
-0.4	0.0112	-2.35	0.0232
-0.35	0.0167	-2.25	0.0241
-0.3	0.0217	-2.15	0.0324
-0.25	0.0329	-2.05	0.0372
-0.2	0.053	-1.95	0.0534
-0.15	0.0878	-1.85	0.0666
-0.1	0.1057	-1.75	0.0788
-0.05	0.1206	-1.65	0.0757
0	0.124	-1.55	0.0727
0.05	0.1175	-1.45	0.1081
0.1	0.0927	-1.35	0.0959
0.15	0.0726	-1.25	0.0911
0.2	0.0493	-1.15	0.0709
0.25	0.0335	-1.05	0.0451
0.3	0.0214	-0.95	0.0394
0.35	0.0068	-0.85	0.0149
0.4	0.004	-0.75	0.0092
0.45	0.0009	-0.65	0.0004

